Source,Title,URL,Annotation
/FILM,One Of Five Nights At Freddy's Animatronics Caught Fire While Filming,https://www.slashfilm.com/1440863/five-nights-at-freddys-movie-animatronic-caught-fire/,4
/FILM,Cool Stuff: Five Nights At Freddy's Brings The Animatronic Terror To 4K Blu-Ray In December,https://www.slashfilm.com/1452217/five-nights-at-freddys-4k-blu-ray-in-december/,1
/FILM,How Donnie Darko And Martin Scorsese Influenced Five Nights At Freddy's,https://www.slashfilm.com/1448819/donnie-darko-martin-scorsese-five-nights-at-freddys-success/,5
/FILM,Five Nights At Freddy's Reignited A Dying Part Of Matthew Lillard's Career,https://www.slashfilm.com/1451807/five-nights-at-freddys-reignite-matthew-lillard-franchise-career/,3
Business Insider,Napoleon's long and costly invasion of Russia was one of the deadliest military operations in history,https://www.businessinsider.com/napoleon-invasion-russia-moscow-1812-2023-11,5
/FILM,Ridley Scott's Napoleon Rides To A $33 Million Debut At The Thanksgiving Box Office,https://www.slashfilm.com/1455013/ridley-scott-napoleon-thanksgiving-box-office/,2
IndieWire,"In the ‘Hunger Games’ of Box Office, ‘Napoleon’ and ‘Wish’ Fall Short of #1 on a Holiday Weekend",https://www.indiewire.com/news/box-office/box-office-hunger-games-napoleon-wish-1234929402/,2
Time,Why We’re Still So Obsessed With Napoleon,https://time.com/6337581/napoleon-obsession-essay/,5
Polygon,Napoleon is the anti-Great Man biopic,https://www.polygon.com/reviews/23964477/napoleon-movie-review-ridley-scott-apple-tv-plus,5
/FILM,How To Watch All Of The Hunger Games Movies At Home,https://www.slashfilm.com/1451864/how-to-watch-the-hunger-games/,1
Time,How Ridley Scott’s Napoleon Stacks Up Against the French Emperor’s Real Story,https://time.com/6338563/napoleon-movie-true-story/,5
Time,"Napoleon Is a Big, Messy Pageant, With Joaquin Phoenix as Its Dad-Humor Emperor",https://time.com/6338326/napoleon-movie-review/,5
The Atlantic,An Enjoyable Extravaganza About … Napoleon?,https://www.theatlantic.com/culture/archive/2023/11/napoleon-movie-review/676082/?utm_source=feed,3
The A.V. Club,"The week in film: Ridley Scott's movies ranked, Best Actress contenders revealed",https://www.avclub.com/the-week-in-film-ridley-scotts-movies-ranked-best-act-1851046379,5
TMZ,"Disney's Latest Movie, 'Wish,' Flops Over Thanksgiving Weekend",https://www.tmz.com/2023/11/26/disney-new-animated-movie-wish-flop-bomb-thanksgiving-box-office/,1
The A.V. Club,Let us all be thankful for Songbirds And Snakes at the Thanksgiving box office,https://www.avclub.com/let-us-all-be-thankful-for-songbirds-and-snakes-at-the-1851047413,2
Polygon,Hunger Games’ director says Tom Blyth ‘caught me off guard’ as Coriolanus Snow,https://www.polygon.com/23971450/hunger-games-the-ballad-of-songbirds-and-snakes-casting-rachel-zegler-tom-blyth,4
Historytoday.com,Napoleon: Two Centuries of Life After Death,https://www.historytoday.com/archive/feature/napoleon-two-centuries-life-after-death,5
Screen Rant,2023's Box Office Makes Josh Hutcherson The Big Winner Of The Hunger Games Franchise,https://screenrant.com/fnaf-box-office-josh-hutcherson-beat-hunger-games-jennifer-lawrence/,2
IGN,The Hunger Games Prequel Withstands Wish and Napoleon to Win 2023's Thanksgiving Weekend Box Office,https://www.ign.com/articles/the-hunger-games-prequel-withstands-wish-and-napoleon-to-win-2023s-thanksgiving-weekend-box-office,2
Windows Central,"Peacock is just $1.99 a month for a full year right now — If I wasn't already using this streaming service every day, I'd jump all over this amazing deal",https://www.windowscentral.com/software-apps/streaming-video/peacock-is-just-dollar199-a-month-for-a-full-year-right-now-if-i-wasnt-already-using-this-streaming-service-every-day-id-jump-all-over-this-amazing-deal,5
Digital Trends,Is Disney’s Wish streaming?,https://www.digitaltrends.com/movies/is-disney-movie-wish-streaming/,2
/FILM,The Hunger Games Emerges As The Surprise Victor Of 2023's Thanksgiving Box Office,https://www.slashfilm.com/1454981/hunger-games-ballad-songbirds-snakes-thanksgiving-box-office/,5
/FILM,The Book You Should Read If You Love – Or Hate – Ridley Scott's Napoleon,https://www.slashfilm.com/1453102/book-you-should-read-if-you-love-or-hate-ridley-scotts-napoleon/,1
IndieWire,"Without Sets, ‘The Hunger Games’ Prequel Grabbed the Chance for a Fresh Look",https://www.indiewire.com/features/craft/songbirds-and-snakes-hunger-games-prequel-francis-lawrence-1234926411/,2
AppleInsider,"'Napoleon' is a hit with the box office, but not so much with critics",https://appleinsider.com/articles/23/11/22/napoleon-is-a-hit-with-the-box-office-but-not-so-much-with-critics,5
/FILM,The Ballad Of Songbirds & Snakes Unlocks The Secret Meaning Of 'The Hanging Tree',https://www.slashfilm.com/1453307/the-ballad-of-songbirds-snakes-secret-meaning-hanging-tree/,5
Forbes,‘The Hunger Games’ Prequel Is Another Failed Franchise Relaunch In 2023,https://www.forbes.com/sites/markhughes/2023/11/22/the-hunger-games-prequel-is-another-failed-franchise-relaunch-in-2023/,6
International Business Times,'Hunger Games' Still Tops In N.America After 'Napoleon' Invades,https://www.ibtimes.com/hunger-games-still-tops-namerica-after-napoleon-invades-3719429,6
ComingSoon.net,Box Office Results: Hunger Games Snakes by Napoleon and Wish,https://www.comingsoon.net/movies/news/1415420-box-office-results-hunger-games-snakes-by-napoleon-and-wish,2
Bleeding Cool News,"Five Nights At Freddy's Hits Blu-ray December 12th, Digital Next Week",https://bleedingcool.com/movies/five-nights-at-freddys-digital-next-week-disc-december-12/,1
/FILM,Will There Be A Sequel To The Blackening? Sounds Like Another Killer's On The Loose,https://www.slashfilm.com/1452186/will-there-be-a-sequel-to-the-blackening/,5
Windows Central,The best Cyber Monday TV streaming deals make it cheaper to watch your favorite shows and movies 2023,https://www.windowscentral.com/software-apps/best-cyber-monday-tv-streaming-deals-roundup,1
Android Central,Heads up! You can now score a pair of Pixel Buds Pro for just $119.99 with this Amazon Black Friday deal,https://www.androidcentral.com/accessories/earbuds/heads-up-you-can-now-score-a-pair-of-pixel-buds-pro-for-just-dollar11999-with-this-amazon-black-friday-deal,0
Biztoc.com,‘Hunger Games’ Leads Slow Thanksgiving Box Office With $40 Million 5-Day Total,https://biztoc.com/x/fca95cbb217184fe,2
Los Angeles Times,"'Hunger Games' prequel tops Thanksgiving box office, 'Napoleon,' 'Wish' battle for second",https://www.latimes.com/entertainment-arts/movies/story/2023-11-26/hunger-games-prequel-first-thanksgiving-box-office-napoleon-wish,2
The A.V. Club,"Every Ridley Scott movie ranked, including Napoleon",https://www.avclub.com/every-ridley-scott-movie-ranked-including-napoleon-1851029272,6
BGR,The Marvels flopping is more proof that the MCU is on life support,https://bgr.com/entertainment/the-marvels-flopping-is-more-proof-that-the-mcu-is-on-life-support/,5
Space.com,Save 20% on Lego's Hoopty spaceship from The Marvels this Black Friday,https://www.space.com/lego-the-marvels-hoopty-spaceship-black-friday-2023,0
Daily Beast,The Hunger Games’ Greatest Legacy: Its Soundtrack,https://www.thedailybeast.com/obsessed/the-hunger-games-franchises-greatest-legacy-is-its-soundtrack,4
The A.V. Club,The 20 best on-screen Napoleons,https://www.avclub.com/best-napoleon-actors-film-tv-1851042411,5
The A.V. Club,Napoleon review: Ridley Scott delivers a dynamite biopic,https://www.avclub.com/napoleon-movie-review-ridley-scott-joaquin-phoenix-1851025868,5
The Atlantic,"The Joys of Carole Lombard, Zadie Smith, and High-School Movies",https://www.theatlantic.com/newsletters/archive/2023/11/the-joys-of-carole-lombard-zadie-smith-and-high-school-movies/676108/?utm_source=feed,1
/FILM,Napoleon Ending Explained: The French Mistake,https://www.slashfilm.com/1452810/napoleon-ending-explained/,5
HYPEBEAST,Ridley Scott's 'Napoleon' Looking to Open With $70 Million USD,https://hypebeast.com/2023/11/ridley-scott-joaquin-phoenix-napoleon-weekend-box-office-projections,2
[Removed],[Removed],https://removed.com,0
The A.V. Club,"Bill & Ted's Napoleon reflects on ice cream, water slides, and learning French",https://www.avclub.com/bill-teds-napoleon-terry-camilleri-interview-1851034933,0
ComingSoon.net,The Hunger Games: The Ballad of Songbirds & Snakes Review: A Jaw-Dropping Prequel,https://www.comingsoon.net/movies/reviews/1410536-the-hunger-games-the-ballad-of-songbirds-snakes-review-a-jaw-dropping-prequel,5
CBC News,"Finding room for carry-on baggage has become 'the Hunger Games' of air travel, analyst says",https://www.cbc.ca/radio/costofliving/carry-on-baggage-carried-away-1.7035013,0
/FILM,Why Director Ridley Scott Didn't Rely On Books To Research Napoleon's Story,https://www.slashfilm.com/1451846/ridley-scott-no-books-napoleon/,5
/FILM,Did Josephine Actually Love Napoleon? Ridley Scott Has Thoughts,https://www.slashfilm.com/1447928/did-josephine-love-napoleon-ridley-scott-has-thoughts/,4
/FILM,Napoleon Director Ridley Scott Explains That Strange Egypt Scene,https://www.slashfilm.com/1447758/napoleon-director-ridley-scott-explains-egypt-scene/,4
GQ Magazine,‘Hunger Games’ Antihero Tom Blyth on Entering His ‘Hubba Hubba’ Moment,https://www.gq.com/story/tom-blyth-hunger-games-interview,5
Screen Rant,"Thanksgiving Box Office: Hunger Games Upsets Disney’s Wish To Keep Top Spot, Projections Show",https://screenrant.com/hunger-games-ballad-songbirds-snakes-wish-movie-thanksgiving-box-office/,2
/FILM,"One Of The Most Striking Moments In Napoleon Kind Of Happened, But Not Really",https://www.slashfilm.com/1452618/one-of-the-most-striking-moments-in-napoleon-kind-of-happened/,5
Screen Rant,"The Marvels Box Office Plummets, Breaking Another Unfortunate MCU Record",https://screenrant.com/the-marvels-box-office-week-3-rank-mcu-record/,2
IndieWire,Ridley Scott’s First Napoleonic Epic Came Out 46 Years Ago — and Cost Under a Million Dollars,https://www.indiewire.com/features/commentary/napoleon-ridley-scott-the-duellists-1234928256/,5
BGR,Kelsey Grammer all but confirmed the X-Men will join the MCU soon,https://bgr.com/entertainment/kelsey-grammer-all-but-confirmed-the-x-men-will-join-the-mcu-soon/,3
Screen Rant,The Hunger Games: The Ballad of Songbirds & Snakes Pitch Meeting,https://screenrant.com/the-hunger-games-the-ballad-of-songbirds-snakes-pitch-meeting/,5
Rolling Stone,‘Napoleon’: Ridley Scott’s Portrait of an Emperor as a Total Douchebag,https://www.rollingstone.com/tv-movies/tv-movie-reviews/napoleon-review-ridley-scott-joaquin-phoenix-vanessa-kirby-1234885783/,5
Vulture,"Spiders, Snakes, and Trolls: It’s a Very MFL Thanksgiving",http://www.vulture.com/2023/11/hunger-games-holdovers-thanksgiving-box-office-movies-league.html,5
Eonline.com,Jennifer Lawrence Shakes Off Her Wardrobe Mishap in the Most J-Law Way,https://www.eonline.com/news/1390335/jennifer-lawrence-brushes-off-her-wardrobe-malfunction-like-a-pro,3
Bleeding Cool News,Hunger Games Wins Thanksgiving Weekend Box Office,https://bleedingcool.com/movies/weekend-box-office-hunger-games-wish-disney-napoleon/,2
Breitbart News,"Disney's 'Wish' Was Expected to Debut at #1 -- but Loses to 'Hunger Games,' 'Napoleon' at Box Office",https://www.breitbart.com/entertainment/2023/11/26/disneys-wish-was-expected-to-debut-at-1-but-loses-to-hunger-games-napoleon-at-box-office/,6
ArchDaily,Foster + Partners Designs Model Village for Saudi Arabian Pavilion at Expo 2025 Osaka,https://www.archdaily.com/1009980/foster-plus-partners-designs-model-village-for-saudi-arabian-pavilion-at-expo-2025-osaka,0
Digital Trends,3 movies and TV shows like Saltburn you have to watch,https://www.digitaltrends.com/movies/saltburn-similar-movies-you-have-to-watch/,1
Showbiz411,Ridley Scott's 'NAPOLEON' Faces Waterloo with Uninterested Audiences...,https://www.showbiz411.com/2023/11/24/ridley-scotts-napoleon-faces-waterloo-with-uninterested-audiences-negative-reviews-from-rock-stars,5
Deadline,"‘Napoleon’ Conquers Tuesday Thanksgiving Previews With $3M, ‘Wish’ $2.3M; ‘Hunger Games’ Wins Day With $6.5M – Box Office",https://deadline.com/2023/11/box-office-wish-napoleon-thanksgiving-1235634036/,2
JoBlo.com,Weekend Box Office: The odds are ever in The Hunger Games’ favor,https://www.joblo.com/wekeend-box-office-the-odds-are-ever-in-the-hunger-games-favor/,2
UploadVR,Five Nights At Freddy's: Help Wanted 2 Set To Scare PSVR 2 Players Next Month,https://www.uploadvr.com/five-nights-at-freddys-help-wanted-2-release-date/,3
Forbes,The Marvels’ Director Has Been Unfairly Maligned For Months Now,https://www.forbes.com/sites/paultassi/2023/11/21/the-marvels-director-has-been-unfairly-maligned-for-months-now/,5
IGN,Napoleon: Best Movies and TV Shows to Stream After Ridley Scott's Epic,https://www.ign.com/articles/napoleon-movies-tv-shows,5
Just Jared,Rachel Zegler & Boyfriend Josh Andrés Rivera Share How They Passed Notes on 'Hunger Games' Prequel Set,https://www.justjared.com/2023/11/20/rachel-zegler-boyfriend-josh-andres-rivera-share-how-they-passed-notes-on-hunger-games-prequel-set/,3
Biztoc.com,"Box Office: ‘Napoleon’ Makes $3 Million in Previews, ‘Wish’ Follows With $2.3 Million",https://biztoc.com/x/784576788473c917,2
Boston Herald,"‘Hunger Games’ feasts, ‘Napoleon’ comes up short",https://www.bostonherald.com/2023/11/26/hunger-games-feasts-napoleon-comes-up-short/,1
Deadline,"‘Poor Things’, ‘The Marvels’ And ‘Barbie’ Production Designers On Creating Fantastical New Worlds Through Innocent Eyes",https://deadline.com/2023/11/poor-things-the-marvels-barbie-production-design-feature-magazine-1235637437/,1
UploadVR,"Five Nights At Freddy's: Help Wanted Now Available On PSVR 2, Dreadbear DLC Included",https://www.uploadvr.com/five-nights-at-freddys-psvr-2-release/,4
Screen Rant,"Ballad Of Songbirds & Snakes: ""Hanging Tree"" Origins & Katniss Connection Explained By Hunger Games Director",https://screenrant.com/hunger-games-ballad-songbirds-snakes-hanging-tree-katniss/,5
Screen Rant,The Hunger Games: The Ballad Of Songbirds & Snakes Box Office Nears Crucial Milestone Globally,https://screenrant.com/hunger-games-ballad-songbirds-snakes-box-office-global-200-million/,2
Screen Rant,Hunger Games Cosplayer Recreates Katniss Everdeen's Wedding Dress To Celebrate Prequel's Release,https://screenrant.com/hunger-games-catching-fire-katniss-wedding-dress-cosplay/,5
Screen Rant,The Hunger Games Prequel Movie Improves Mockingjay Part 2's Rebel Story,https://screenrant.com/hunger-games-ballad-songbirds-snakes-tigris-mockingjay-improve/,5
Screen Rant,Every Rachel Zegler Song In The Hunger Games: The Ballad Of Songbirds & Snakes Ranked,https://screenrant.com/hunger-games-ballad-songbirds-snakes-rachel-zegler-songs-ranked/,5
Screen Rant,The Ballad Of Songbirds & Snakes Proves Hunger Games Learned The Wrong Lesson From Mockingjay,https://screenrant.com/hunger-games-ballad-songbirds-snakes-not-two-parts-wrong/,3
HuffPost,Jennifer Lawrence Has Priceless Reaction To Wardrobe Malfunction At NYC Event,https://www.huffpost.com/entry/jennifer-lawrence-saks-fifth-avenue-belt-falling_n_655e56d1e4b0c0333bee7fea,5
Forbes,On The (Travel) Trail Of Napoleon,https://www.forbes.com/sites/joeyogerst/2023/11/21/on-the-travel-trail-of-napoleon/,5
Japan Today,"'Hunger Games' feasts, 'Napoleon' conquers but 'Wish' doesn't come true at Thanksgiving box office",https://japantoday.com/category/entertainment/%27hunger-games%27-feasts-%27napoleon%27-conquers-but-%27wish%27-doesn%27t-come-true-at-thanksgiving-box-office,2
Livejournal.com,"Thanksgiving Box Office: S&S stays on top, Wish bombs, Napolean beats expectations",https://ohnotheydidnt.livejournal.com/127309070.html,4
Vulture,Which Movie Is the Most Thankful at the Box Office?,http://www.vulture.com/article/wish-napoleon-hunger-games-box-office.html,2
IndieWire,Francis Ford Coppola Says Ridley Scott ‘Should Be Given a Dukedom for Such Outstanding Outstanding Quality Output’,https://www.indiewire.com/news/general-news/francis-ford-coppola-ridley-scott-deserves-dukedom-1234928577/,4
CBC News,Napoleon was compelling — Ridley Scott's movie is not,https://www.cbc.ca/news/entertainment/napoleon-review-1.7035699,6
menshealth.com,How to Watch The Ballads of Songbirds & Snakes Now,https://www.menshealth.com/entertainment/a45928058/how-to-watch-hunger-games-the-ballad-of-songbirds-and-snakes-streaming/,0
Rolling Stone,Audiences Were Losing Faith in YA Films. These Authors Proved Them Wrong,https://www.rollingstone.com/culture/culture-features/hunger-games-ballad-of-songbirds-percy-jackson-ya-fiction-1234892786/,5
Forbes,Review: Over-Edited ‘Napoleon’ Can’t Conquer Its Shortcomings,https://www.forbes.com/sites/markhughes/2023/11/23/review-over-edited-napoleon-cant-conquer-its-shortcomings/,5
The Daily Dot,"With the Hunger Games renaissance, fans are making dystopia cool again",https://www.dailydot.com/parsec/fandom/hunger-games-renaissance/,5
ComingSoon.net,Napoleon Age Rating Explained: Why Is It Rated ‘R’?,https://www.comingsoon.net/guides/news/1410356-napoleon-age-rating-explained-rated-r-safe-for-kids-children,5
ComingSoon.net,Napoleon Review: An Unforgettable Epic From Ridley Scott,https://www.comingsoon.net/movies/reviews/1407220-napoleon-review-an-unforgettable-epic-from-ridley-scott,5
Deadline,‘Napoleon’ Rides To $21M Global Through Thursday; Now Looking To Conquer $70M+ WW Bow – International Box Office,https://deadline.com/2023/11/napoleon-wish-opening-weekend-global-international-box-office-1235637258/,2
Forbes,"Interview: Ridley Scott, Joaquin Phoenix And Vanessa Kirby On Napoleon",https://www.forbes.com/sites/maellebeauget-uhl/2023/11/22/interview-ridley-scott-joaquin-phoenix-and-vanessa-kirby-on-napoleon/,4
ComingSoon.net,Napoleon Ending Explained & Spoilers: What Happens at the End?,https://www.comingsoon.net/guides/news/1412589-napoleon-ending-explained-spoilers-joaquin-phoenix-new-movie-end,1
